series id ,series.title,description,site.channel,primary.channel.sub.channel, average monthly total users (June - Sep 17) 
363,Yu-Gi-Oh!,"Meet Yugi, an eager young freshman at Domino High School. Yugi and his best friends, Joey, Tristan, and Tea share a love of a cool new game that's sweeping the nation...Duel Monsters! In this card-battling game, players pit different mystical creatures against one another in action-packed, high intensity duels.",Anime~Anime - Tournament|Teen|Videogames,Anime~Anime - Tournament,5197134
364,Dragon Ball GT,"The Dragon Balls have been scattered to the ends of creation, and if Goku, Pan, and Trunks can't gather them in a year's time, Earth will meet with final catastrophe. The countdown to oblivion has begun.",Anime~Anime - Action Adventure|Anime~Anime - Comedy|Anime~Anime - Science Fiction,Anime~Anime - Action Adventure,2717524
365,The Librarians,"Flynn Carsen (Noah Wyle: ER, Falling Skies) may appear to be an ordinary librarian working for the world-famous Metropolitan Library, but beneath the public library lies the centuries-old headquarters of scholars and adventurers who investigate the bizarre, collect dangerous artifacts and save the world from supernatural threats. This is The Library,and Flynn is The Librarian.",Action and Adventure|Science Fiction|Family,Action and Adventure,2485820
366,Beverly Hills 90210,"The show focuses on the assimilation of a solid, value-oriented Midwestern family into an accelerated Beverly Hills lifestyle. The show explores the realities and myths of social classes in Beverly Hills while at the same time exposing the strains this lifestyle can put on family relationships.",Drama~Romance|Teen,Drama~Romance,5420082
367,Classroom of the Elite,"K?do Ikusei Senior High School is a leading prestigious school with state-of-the-art facilities where nearly 100% of students go on to university or find employment. The students there have the freedom to wear any hairstyle and bring any personal effects they desire. K?do Ikusei is a paradise-like school, but the truth is that only the most superior of students receive favorable treatment. Kiyotaka Ayanok?ji is a student of D-class, which is where the school dumps its ""inferior"" students in order to ridicule them. For a certain reason, Kiyotaka was careless on his entrance examination, and was put in D-class. After meeting Suzune Horikita and Kiky? Kushida, two other students in his class, Kiyotaka's situation begins to change.",International~Japanese|Anime~Anime - Drama,International~Japanese,6952012
368,T.U.F.F. Puppy,"Join Dudley Puppy, aka T.U.F.F. Puppy, an energetic, gung-ho dog recruited by the super secret crime-fighting organization T.U.F.F. Turbo Undercover Fighting Force and his partner, Kitty Katswell, as they protect Petropolis and the world from D.O.O.M.",Animation and Cartoons~Saturday Morning Cartoons|Kids,Animation and Cartoons~Saturday Morning Cartoons,2450882
369,Rosewood,"Set against the vibrant backdrop of one of the worldÕs hottest cities _ Miami _   ROSEWOOD is the story of Dr. Beaumont Rosewood, Jr., (Morris Chestnut, ÒNurse Jackie,Ó ÒThe Best ManÓ), the cityÕs top private pathologist. Brilliant, cool with tons of charisma, Rosewood teams up with the tough-as-nails Det. Annalise Villa (Jaina Lee Ortiz, ÒThe AfterÓ), to uncover clues no one else sees and help the Miami PD solve the cityÕs most challenging cases. While sheÕs impressed by RosewoodÕs incredible abilities, his constant optimism is more annoying than it is infectious. But somehow, week-to-week, this unlikely tag team will solve many crimes together.",Drama~Police Drama,Drama~Police Drama,3109645
370,Storage Wars,"A&E presents the new original real-life series ÒStorage Wars,Ó which follows four professional buyers and their teams as they scour repossessed storage units in search of hidden treasure. Part gamblers, part detectives, these seasoned veterans have found everything from coffins to the worldÕs most valuable comic book collection, paying as little as ten dollars for items valued in the millions.",Reality and Game Shows,Reality and Game Shows,5205357
371,Charlie Rose,"Acclaimed interviewer and broadcast journalist Charlie Rose engages America's best thinkers, writers, politicians, athletes, entertainers, business leaders, scientists and other newsmakers in one-on-one interviews and roundtable discussions.",News and Information,News and Information,7535132
372,The Great Food Truck Race,"Get ready for strategy, stress and lots of sleepless nights. In the end, it all comes down to two trucks, and one sun-splashed showdown in Miami Beach. And this time, there's $100,000 on the line.",Food~Cooking Competitions|Family,Food~Cooking Competitions,3658836
373,Black Dynamite,"Black Dynamite revolves around the everyday lives of a heroic, crime-fighting vigilante of justice and his friends as they engage in a variety of adventures while working to keep their community safe. Plus, Black Dynamite delivers an all-out assault on your action taste buds with enough ass-whoopinÕ for the whole family!",Animation and Cartoons~Primetime Animation|Comedy~Late Night Comedy,Animation and Cartoons~Primetime Animation,8788259
374,ABC Primetime Nightline,"ABC News 13-week primetime summer 2011 series, Primetime Nightline features a five-part investigation into the realm of the extra-sensory, the spiritual, and the experiences many call beyond belief. We then take you deep into the world of Hollywood, where glamour lives are only skin deep, followed by a five-part series that challenges the idea of what really makes up todays family dynamic.",News and Information|News and Information~Current News,News and Information,7963112
375,First Dates,"NBC and executive producer Ellen DeGeneres are bringing the UK's smash hit First Dates to the US, a groundbreaking series that will explore all of the simple wonder of a first date.",Reality and Game Shows~Guilty Pleasure,Reality and Game Shows~Guilty Pleasure,7844240
376,Boy Band,"ÒBoy Band,Ó is a new series where talented singers battle it out to become a member of the next great music sensation. And for the first time ever, viewers at home will vote for their favorite five band members, live, creating a group America can truly call its own.",Reality and Game Shows~Competition|Music,Reality and Game Shows~Competition,8721887
377,Shades of Blue,Shades of Blue follows aÊtight-knit crew of police officers who are effective at keeping the streets safe but also corrupt when it comes to lining their pockets and protecting their own.,Drama~Police Drama,Drama~Police Drama,7033517
378,NinjaGo: Masters of Spinjitzu,"Where ancient prophecies are fulfilled and dark powers threaten the balance, six teenage ninja are destined to protect Ninjago Island from evil. The teen heroes must unlock their true potential, harnessing their elemental powers to restore the balance. Through epic adventures the brave ninja uncover secrets and take steps towards becoming masters of Spinjitzu.",Animation and Cartoons~Primetime Animation|Kids,Animation and Cartoons~Primetime Animation,1669332
379,The Chew,"Celebrating and exploring life through food, The Chew is an innovative and groundbreaking daytime program co hosted by a dynamic group of engaging, fun, relatable experts in food, lifestyle, and entertaining.",Reality and Game Shows~Real Life Drama|Food,Reality and Game Shows~Real Life Drama,5973201
380,Numb3rs,"Rob Morrow (""Northern Exposure""), David Krumholtz (""Ray""), Judd Hirsch (ÒTaxiÓ) and Peter MacNicol (ÒAlly McBealÓ) star in the drama series, NUMB3RS. Inspired by actual events, the drama follows an FBI agent who recruits his mathematical genius brother to help the Bureau solve a wide range of challenging crimes in Los Angeles.",Drama~Crime and Courtroom Drama,Drama~Crime and Courtroom Drama,6938850
381,Hell's Kitchen,An unscripted culinary boot camp that features the drama of aspiring restaurateurs competing for world-renowned Chef Gordon RamsayÕs approval and the chance to become AmericaÕs next culinary star.,Reality and Game Shows~Competition|Food~Cooking Competitions|Family,Reality and Game Shows~Competition,9902902
382,Overlord,"When a popular MMORPG is scheduled to be shut down permanently, veteran player Momonga refuses to log out. As NPCs begin to develop personalities and minds of their own he decides to put his skills to use as the game's new overlord.",Anime,Anime,4603348
383,Pocoyo,"Pocoyo is a charming and vibrant animated preschool series about the captivating adventures of Pocoyo, an inquisitive and fun-loving little boy. Pocoyo is a child with an insatiable curiosity, living in a world of limitless opportunities. Featuring a cast of colourful, loveable characters, Pocoyo captures the imagination and stimulates children to watch, listen and interact, promoting creativity, self-awareness and self-confidence by learning through laughter.",Kids,Kids,8214929
384,Truth and Lies: The Murder of Laci Peterson,"Nearly 15 years since Laci Peterson's murder, what you didn't know about her husband and convicted killer Scott Peterson, rarely-heard details and new interviews.",News and Information|Documentaries,News and Information,6069203
385,Wayward Pines,"A Secret Service agent travels to Wayward Pines, Idaho, in search of two federal agents who have gone missing. Instead of answers, Ethan's investigation only turns up more questions and he soon learns that he may never get out of Wayward Pines alive.",Drama~Mystery,Drama~Mystery,6584460
386,Flea Market Flip,"There are always diamonds to be mined at yard sales. The trick, of course, is finding them. The competitors in ""Flea Market Flip"" are asked to perform that trick, then they're challenged to refurbish or reinvent the items they've purchased in the hope of reselling them for a profit. Grouped in teams, the contestants in each episode are given a budget of about $500 to hunt for project pieces with potential. The team that does the best job of flipping trash for cash wins $5,000. Passionate flea market fan Lara Spencer, an anchor on ""Good Morning America,"" hosts.",Food,Food,476536
387,Famous in Love,"Paige, an ordinary college student, gets her big break after auditioning for the starring role in a Hollywood blockbuster. She must now navigate her new star-studded life - and undeniable chemistry with her two co-leads - while uncovering the truth about what happened to a missing, famous popstar.",Drama,Drama,6055150
388,Ray Donovan,"Set in the sprawling mecca of the rich and famous, RAY DONOVAN does the dirty work for LA's top power players. The one hour drama series stars Liev Schreiber as Ray and Jon Voight as his dangerous, disruptive father.",Drama,Drama,9408578
389,Restaurant: Impossible,"After combating countless ""impossible dinners,"" Chef Robert Irvine faces a daunting new challenge: save America's most desperate restaurants from impending failure in just two days with only $10,000.",Reality and Game Shows|Food,Reality and Game Shows,6278023
390,The Brady Bunch,"The Brady Bunch is a half-hour comedy series that follows the misadventures of a family united when single mother Carol (Florence Henderson) finds love and marriage with single father Mike Brady (Robert Reed). The Brady's tackle typical family issues such as sibling rivalry, misunderstandings, and growing up, in a way that brought innocence and charm to the series.",Comedy~Sitcoms|Classics|Family|Teen,Comedy~Sitcoms,1132952
391,Tayo the Little Bus,"In a big city where various vehicles are happily living together, our little bus Tayo has just started learning his route in the city. There is lots more to learn for Tayo. Tayo and his friendly friends Rogi, Lani and Gani are helping each other to become great mature buses.",Animation and Cartoons|Kids,Animation and Cartoons,883881
392,Kourtney & Kim Take Miami,"Kourtney and Kim take their lives to Miami to try and find a new location for the D-A-S-H store, showing their day-to-day lives with friends, family and while working. This was the first ""Keeping Up with the Kardashians"" spin-off. The first season followed Kourtney and Khlo_ Kardashian as they oversaw the opening of a D-A-S-H store in Miami, following the original store in Calabasas. Khlo_ also had her own radio show called 'Khlo_ After Dark', co-hosted by Terrence J. During the third season, Kim and Kourtney live in a home rather than a hotel. This will be the first series to debut Kourtney and boyfriend Scott Disick's daughter Penelope. ",Reality and Game Shows~Real Life Drama|Reality and Game Shows~Guilty Pleasure|Teen,Reality and Game Shows~Real Life Drama,4791062
393,Extreme Homes,"From a home that stretches like an accordion, to one built to resemble Easter Eggs, and a house constructed from refrigerator panels, we take a personal tour of some of the most extraordinary homes in the world.",Reality and Game Shows|Lifestyle~Home and Garden|Family|Documentaries,Reality and Game Shows,9925919
394,My Life As A Teenage Robot,"Jenny - a super-powered robot with a super sensitive teenage heart.  Her primary function is protecting the planet from disaster, but she's a teenager who'd much rather hang out with kids from school. Can she find a balance between without blowing a fuse?",Kids|Animation and Cartoons~Saturday Morning Cartoons,Kids,874638
395,Man vs. Wild,"Bear Grylls has served with the British Special forces, climbed Everest, and explored the Arctic. He shows viewers how to survive the toughest and most remote environments on the planet by putting himself in the position of a stranded tourist.",Reality and Game Shows|Documentaries,Reality and Game Shows,1501765
396,Fast N' Loud,"Fast NÕ Loud searches AmericaÕs virtual graveyard for classic cars. From Õ57 Chevys to Õ73 Trans Ams, these cars are screaming to be brought back to life. To most theyÕre just rust buckets, but to Richard Rawlings and Aaron Kaufmann, theyÕre a goldmine.",Reality and Game Shows|Sports~Automotive,Reality and Game Shows,8551341
397,Outsiders,"The Farrells of Kentucky have been living on Shay Mountain for as long as anyone can remember. Together with two other families, the Shays and the McGintuks, they have survived and thrived in a challenging, densely wooded environment that is all but impenetrable to outsiders. The people of Shay Mountain have always kept to themselves, living off the land and keeping civilization at arm's length.",Drama,Drama,7961890
398,Dawson's Creek,"Provocative drama about the coming-of-age of a group of teenage best friends in a small New England coastal town. Dawson Leery seems to have the perfect life. An aspiring filmmaker, he soon finds out that growing up isn't as simple and clear-cut as the Steven Spielberg movies he so idolizes. The arrival of Jennifer, the attractve new girl in town, puts a barrier between Dawson and his longtime best friend, Josephine (""Joey"")--a local girl who lives across the pond with her pregnant sister and her sister's black boyfriend. He also must deal with good buddy Pacey's obsession with the school's attractive new teacher. Things won't be so quiet in this small town.",Drama|Teen,Drama,2689281
399,Underground (WGN),"An unflinching story of plantation slaves that band together for the fight of their lives--for their families, their future and their freedom.",Drama,Drama,5357238
400,The Paley Center Salutes the Best of Will & Grace,"Comprised of the best moments from the showÕs original eight seasons in which it received 16 Emmy Awards from among 83 nominations, ÒThe Paley Center Salutes the Best of Will & GraceÓ will also feature new and exclusive interviews with the showÕs stars _ Debra Messing, Eric McCormack, Sean Hayes and Megan Mullally _ as well as creators Max Mutchnick and David Kohan, and legendary director James Burrows. Also included is never-seen-before behind-the-scenes footage of the landmark series that altered the television landscape with its brilliant comedy and groundbreaking focus on gay characters and their life experiences.",News and Information~Talk and Interview|Documentaries,News and Information~Talk and Interview,4455763
401,Big Little Lies,"Reese Witherspoon, Nicole Kidman and Shailene Woodley star in this series about three mothers whose lives unravel to the point of murder.",Drama~Crime and Courtroom Drama|Drama~Mystery,Drama~Crime and Courtroom Drama,1523057
402,Devious Maids,"In ""Devious Maids,"" murder and mayhem collide in the mansions of Beverly Hills' wealthiest and most powerful families.",Drama~Mystery|Drama,Drama~Mystery,2638944
403,Life Below Zero,Life Below Zero follows seven people living at the ends of the world's loneliest roads and subsisting off the rugged Alaskan bush. Only the mentally fit will be able to endure the extreme test of isolation and endless work required to survive the many months of winter in Alaska.,Lifestyle~Travel|Lifestyle|Reality and Game Shows~Real Life Drama|Reality and Game Shows|Documentaries,Lifestyle~Travel,4344159
404,Bizarre Foods With Andrew Zimmern,"Andrew Zimmern is on a quest to find the world's most unique tastes on Bizarre Foods. As a chef and foodie, Andrew knows that one man's poison is another man's delicacy, but he isn't afraid to poke a little fun at the local fare or himself.",Food|Lifestyle~Travel|Family,Food,5033962
405,ABC This Week,"This Week offers newsmaker interviews and panel debates on a wide range of topics, plus commentary.",News and Information|News and Information~Current News,News and Information,6722643
406,12 Monkeys,"The show follows the journey of a time traveler, Cole, from the post-apocalyptic future.  Using a dangerous and untested method of time travel, Cole arrives in the present day on a mission to locate and eradicate the source of a deadly plague that will eventually decimate 93.6% of the human race.",Science Fiction~Science Fiction - Time Travel,Science Fiction~Science Fiction - Time Travel,3216340
407,WWE 205 Live,"The greatest performers from WWE's new Cruiserweight division go beyond RAW to showcase their unparalleled abilities on WWE Network! Witness Brian Kendrick, TJ Perkins, Rich Swann, Cedric Alexander, Gran Metalik, and many more world-class talents perform breathtaking feats of athleticism on 205 Live!",Sports~Fighting and Martial Arts,Sports~Fighting and Martial Arts,880851
408,Caribbean Life,"Follow families as they head to the Caribbean to live on island time. Join their search for an affordable slice of heaven, touring gorgeous homes on white sandy beaches. You don't have be rich to live in paradise!",Reality and Game Shows,Reality and Game Shows,7762818
409,The Hunt With John Walsh,Join the hunt for criminals on the run and help expand the investigation worldwide.,Drama|Documentaries,Drama,8482193
410,Big Fan,"A studio-based game show featuring one celebrity and three of his or her fans, battling it out to prove who is the ultimate super fan.  Contestants will go head-to-head to see who knows more about the episode's featured celebrity.  The winner moves on to the final round in an ultimate showdown, celebrity vs. super fan, to see who knows more about the celebrity.",Reality and Game Shows,Reality and Game Shows,4435283
411,Divorce Court,"TelevisionÕs longest-running court show ÒDivorce Court,Ó presided over by Lynn Toler, allows viewers to experience the drama firsthand as couples square off in real-life courtroom battles. With over twenty years of experience behind her in the practice of law, Lynn Toler brings a wealth of knowledge and expertise to the bench of ÒDivorce Court.Ó The television classic features real people, real conflicts and powerful human drama in a compelling courtroom setting where litigants abide by TolerÕs legally-binding decisions.",Reality and Game Shows~Guilty Pleasure,Reality and Game Shows~Guilty Pleasure,9877759
412,Beachfront Bargain Hunt,"Each week, we follow a family making their beachfront living dreams come true on a budget. We'll follow them on the house hunt as we discover some of the most surprisingly affordable beachfront locales that prove you don't need to be a millionaire to live right on the beach.",Lifestyle|Family,Lifestyle,1211124
413,LEGO Friends,"Five best friends face adventures side by side in their hometown. Zany antics, love and missteps are better with friends!",Animation and Cartoons|Kids,Animation and Cartoons,2388829
414,Home Movies,"Home Movies is one of the first [adult swim] animated cult classics. With an alcoholic soccer coach for a father-figure and a woman who swears during parent/teacher conferences for an actual mother, eight-year-old Brendon Small (voiced and created by Brendon Small, now of Metalocalypse fame) chronicles his life as a jaded third-grader who happens to have the brain of a twenty-something-and who uses his video camera to cope with the trials of his oddly precocious life.",Animation and Cartoons~Primetime Animation|Comedy,Animation and Cartoons~Primetime Animation,71096
415,Deadliest Catch,"Forty-foot waves, hurricane force winds, heavy-machinery and massive icebergs are just a few reasons that no season is ever the same on the Bering Sea. Surrounded by death and injury, these brave men struggle to return alive from manÕs oldest journey.",Reality and Game Shows|Documentaries,Reality and Game Shows,5467122
416,Axe Cop,"From the untamed imagination of a 5 year-old boy comes Axe Cop, a hilarious fantasy-based adventure about the most badass superhero that ever existed in the history of all space and time! Operating on only two minutes of sleep a night and fueled by a diet consisting solely of birthday cake, Axe Cop and his loyal partner, Flute Cop, unleash their unique brand of vigilante justice on bad guys everywhere.",Animation and Cartoons~Primetime Animation|Comedy~Satire,Animation and Cartoons~Primetime Animation,9710460
417,Twin Peaks,"The sensational murder of the high school homecoming queen strips the veneer of respectable gentility from the picturesque rural community of Twin Peaks to expose the seething undercurrents of illicit passion, greed, jealously and intrigue. FBI agent Dale Cooper and Sheriff Harry S Truman join forces to investigate the crime and discover a town full of secrets.",Drama|Drama~Mystery,Drama,5734492
418,Rin-ne,"An accidental childhood trip left Sakura Mamiya with the ability to see and interact with ghosts. She just wants to be normal! But when the long-absent student finally shows up to class, normality is no longer an option. A young man with shinigami power, Rinne Rokudo needs a little help to pay off his familyÕs debts. The two become an unlikely duo to guide lost spirits to the next realm.",Anime~Anime - Comedy|Anime~Anime - Romance|Anime~Anime - Fantasy|International~Japanese,Anime~Anime - Comedy,9787925
419,Vice Principals,Danny McBride and Walton Goggins play high-school vice principals out to take down the school's new principal in this comedy series.,Comedy,Comedy,6015441
420,Cheers,"Top-rated, 28-time Emmy-winning half-hour comedy series centering on the colorful characters who frequent a Boston bar owned by a former Red Sox pitcher.",Comedy~Sitcoms|Classics,Comedy~Sitcoms,7446118
421,Samurai Champloo,"Mugen is a ferocious, animalistic warrior with a fighting style inspired by break-dancing. Jin is a ronin samurai who wanders the countryside alone. They may not be friends, but their paths continually cross. And when ditzy waitress Fuu gets them out of hot water with the local magistrate, they agree to join her search for the samurai who smells like sunflowers.",International~Japanese|Anime,International~Japanese,7535533
422,Blood Lad,"Staz is one of the toughest vampires in the demon world. But unlike his ancestors, he finds being a vampire to be a serious pain and prefers to spend his time watching anime and playing video games instead. When a Japanese girl named Fuyumi wanders into his territory, Staz cannot hide his excitement at finally meeting a living human from his favorite culture. Unfortunately, Fuyumi dies after being swallowed by a monster, leaving her bare soul behind. Staz vows to Fuyumi that he will bring her back to life by any bloody means necessary.",International~Japanese|Anime~Anime - Action Adventure,International~Japanese,6305544
423,Murder in the First,Murder in the First centers on homicide detectives Terry English (Taye Diggs) and Hildy Mulligan (Kathleen Robertson) as they investigate two seemingly unrelated murders. The mystery deepens when they find both murders have a common denominator in a Silicon Valley wunderkind (Tom Felton).,Drama~Crime and Courtroom Drama,Drama~Crime and Courtroom Drama,7664455
424,Good Eats,Alton Brown gives cooking tips and history.,Food|Family,Food,4422052
425,Imaginary Mary,Alice is a fiercely independent career woman whose life is turned upside-down when she meets the love of her life&#x2013;a divorced father with three kids. This triggers even more upheaval when the slightly unhinged imaginary friend she created as a child suddenly reappears to help her navigate the transition from single girl to a woman ready for a family.,Comedy,Comedy,2557477
426,Good Behavior,"Letty Raines is a thief and con artist whose life is always one wrong turn, one bad decision, from implosion. Which is just how she likes it. Fresh out of prison, she's attempting to stay afloat. But when she overhears a hit man being hired to kill a man's wife, she sets out to derail the job, sending her on a wild collision course with the charming killer, and entangling them in a dangerous, seductive relationship.",Drama,Drama,4691188
427,Fluffy's Food Adventures,"You hungry? Well Fluffy isÑand he's taking his crew of comedians on a coast-to-coast culinary trip in search of the country's most mouthwatering dishes. It's no carb left behind as stand-up sensation Gabriel ""Fluffy"" Iglesias and his boys eat their way through Harlem, Nashville, New Orleans, D.C., Los Angeles and Atlanta, discovering local gems, unique activities and a few celebrities along the way.",Latino|Reality and Game Shows|Comedy,Latino,6745747
428,Top Gear USA,"Featuring super-cars, extreme stunts and challenges, car reviews and celebrity interviews, the U.S. version of the wildly popular BBC series Top Gear promises high-adrenaline action entertainment as it tracks the colorful history of the automobile.",Sports~Automotive,Sports~Automotive,6693567
429,Legion,"LEGION follows the story of David Haller, a troubled young man who may be more than human. Since he was a teenager, David has struggled with mental illness. Diagnosed as schizophrenic, he has been in and out of psychiatric hospitals for years. But after a strange encounter with a fellow patient, David is confronted with the possibility that the voices he hears and the visions he sees might be real.",Drama|Science Fiction|Action and Adventure,Drama,4315503
430,Million Dollar Matchmaker,Matchmaker Patti Stanger is back and is upping her matchmaking game at a high end resort. Checking in each week will be her toughest clients yet!,Reality and Game Shows,Reality and Game Shows,5572907
431,Are You Smarter Than a 5th Grader?,"Jeff Foxworthy hosts this game show in which contestants try to answer questions from elementary school in order to win one million dollars.  Across a variety of subjects, contestants choose 1st grade through 5th grade level questions as they progress from $1,000 to $1,000,000.  Helping them out with the answers is a group of actual fifth graders who team up with the contestants when necessary.",Reality and Game Shows~Competition,Reality and Game Shows~Competition,943046
432,I Love New York,"After another unsuccessful try at love Tiffany ""New York"" Pollard is jumping back into the dating pool to find the man of her dreams. A fresh crop of twenty men are brought together to compete for her heart and this time the selection process has a twist....some of the chosen contestants vying for New York's heart have been hand-picked by online users and some have been chosen by Tiffany's outspoken mother, Sister Patterson. Will the viewer's choices for Tiffany be her perfect match or does mother know best?",Reality and Game Shows~Guilty Pleasure,Reality and Game Shows~Guilty Pleasure,6123763
433,Tanked,"Tanked follows the largest aquarium manufacturing company in the US, run by Wayde King & Brett Raymer. Watch them create the most outrageous tanks for some of the most striking fish and clients.",Reality and Game Shows,Reality and Game Shows,7469323
434,Faking It,"A romantic comedy about two best friends who love each other _ in different ways. After numerous failed attempts to become popular, the girls are mistakenly outed as lesbians, which launches them to instant celebrity status.",Comedy~Romantic Comedy|Teen,Comedy~Romantic Comedy,7749954
435,The Awesomes,"THE AWESOMES is an animated show for adults that combines the thrills of comic book storytelling with the hallmark irreverent and inspired comedy of co-creators Seth Meyers and Mike Shoemaker (Late Night with Seth Meyers). Showcasing the voice talents of current and past SNL stars, THE AWESOMES introduces a group of not-so-super heroes who just might find a way to save the world.",Animation and Cartoons~Primetime Animation|Comedy|Action and Adventure,Animation and Cartoons~Primetime Animation,3799812
436,ABC News Documentaries,"More people get their news from ABC News than from any other source. ABC News delivers a big picture understanding of the world to inspire, empower and connect with viewers. ABC News Documentaries on Hulu will unveil the best documentary originals and exclusive content - exploring provocative topics that define our life and times from around the nation and the globe. ÊThese fresh and fascinating looks inside different worlds and cultures can only be brought to you by ABC News' worldwide news gathering power, using its unparalleled access, credibility, and creative resources. With its unrivaled, powerful storytelling combined with compelling visuals, these original documentaries will spark both debate and insight. ÊBringing the trust of ABC News to users and backed by award-winning journalism, now the stories users are interested in the most are available when and where they want it. ABC News continues to lead the charge in the search for truth and entertainment by creating highly engaging experiences for viewers with its premium non-fiction news and programming.",Documentaries|News and Information,Documentaries,9805810
437,Love It or List It,"Homeowners decide that their houses don't fit their lifestyle anymore, but whether they stay or go depends on experts Hilary Farr and David Visentin. Will they love their newly renovated home, or will they list it to buy another?",Reality and Game Shows|Lifestyle~Home and Garden,Reality and Game Shows,8726808
438,Taken,"A thrilling new addition to his iconic blockbuster action-film franchise. This new, modern-day, edge-of-your-seat thriller follows the origin story of younger, hungrier, former Green Beret Bryan Mills as he deals with a personal tragedy that shakes his world. As he fights to overcome the incident and exact revenge, Mills is pulled into a career as a deadly CIA operative, a job that awakens his very particular, and very dangerous, set of skills.",Drama~Crime and Courtroom Drama|Action and Adventure|Horror and Suspense~Thriller,Drama~Crime and Courtroom Drama,2899762
439,Politicking with Larry King,The biggest names in politics join iconic host Larry King for a frank and unfiltered discussion of today's headlines.,News and Information~Politics,News and Information~Politics,3019277
440,Spider-Man Unlimited,"While covering the launch of John Jameson's one man mission to Counter-Earth, Spider-Man attempts to stop symbiote adversaries Venom and Carnage from boarding a shuttlecraft and fails in front of millions of people watching the event. Blamed for the failed launch and disappearance of Jameson, Spider-Man becomes a target of persecution by the media and public. Believed to be dead after saving a life in a fire, Peter Parker uses this shroud to embark on a mission to retrieve John Jameson on Counter-Earth! Strap in to your seats and experience Spider-Man Unlimited!",Animation and Cartoons~Saturday Morning Cartoons|Kids,Animation and Cartoons~Saturday Morning Cartoons,1553761
441,House Hunters Renovation,"Fixer-uppers are on the wish lists of house hunters in this addition to HGTV's long-running franchise. In each episode, the featured home buyers tour three for-sale homes and choose the one that is the perfect fixer-upper. The added bonus? Cameras also capture what happens after the home is purchased and the renovation project begins. The progress is charted as the new homeowners turn their property into home sweet home, then they finally reveal their new space.",Lifestyle~Home and Garden,Lifestyle~Home and Garden,2799265
442,Top Chef Masters,Top Chef Masters will pit 24 world-renowned chefs against each other and see how well they fare in the tried and true format of Top Chef.,Reality and Game Shows|Food~Cooking Competitions|Family,Reality and Game Shows,7688715
443,Man Seeking Woman,"Wednesdays at 10:30pm on FXX. A sweet and surreal look at the life-and-death stakes of dating, Man Seeking Woman follows na•ve twenty-something ÒJosh GreenbergÓ (Jay Baruchel, How to Train Your Dragon) on his unrelenting quest for love. Josh soldiers through one-night stands, painful break-ups, a blind date with a troll, time travel, sex aliens, many deaths and a Japanese penis monster named Tanaka on his fantastical journey to find love. Starring alongside Baruchel are Eric Andre (The Eric Andre Show) as ÒMike,Ó JoshÕs confident and daring best friend; Britt Lower (Unforgettable) as ÒLiz,Ó JoshÕs intimidating older sister; and Maya Erskine (Betas) as ÒMaggie,Ó the ex-girlfriend Josh can never quite forget. Man Seeking Woman is based on Simon RichÕs book of short stories, The Last Girlfriend on Earth. Rich created the 10-episode scripted comedy and also serves as Executive Producer/Showrunner. Jonathan Krisel, Andrew Singer and Lorne Michaels, and Broadway Video also serve as Executive Producers.  Man Seeking Woman is produced by FX Productions.",Comedy,Comedy,30445
444,The FBI Files,"In this award winning series, THE FBI FILES, TMG and NEW DOMINION PICTURES reveal for the first time the crime busting techniques and forensic science used by the FBI to break the most baffling cases. From crime scene analysis to the most up-to-date laboratories, FBI agents relentlessly comb through mountains of evidence to narrow their search, ultimately prevailing over the perpetrators and bringing them to justice. Retired Special Agent and former Director in Charge of the FBI's New York Office James Kallstrom is your host in these true life stories of crime and detection, taking you behind the scenes with re-enactments and interviews with the actual participants.",Documentaries,Documentaries,3623770
445,Steve Harvey's Funderdome,"Two budding entrepreneurs go head-to-head to win over a live studio audience to fund their ideas, products or companies. In each of the 13 episodes, the audience will represent the ÒcustomerÓ and, as the customer is always right, they will be voting to determine the winner.",Reality and Game Shows~Competition,Reality and Game Shows~Competition,3311492
446,Flashpoint (TV),"The Strategic Response Unit is a team of cops like no other _ theyÕre the elite, the blueblood of the force. High risk is their business and life-and-death stakes are their world. The SRU team is also unique; they rescue hostages, bust gangs, defuse bombs, climb buildings, see through walls and talk down suicidal teens. It takes years on the street, intense physical conditioning and elite marksmanship to qualify for the SRU. They have to prove that theyÕre at the top of their game on a daily basis because if theyÕre not, there are hundreds of others willing to step in and take their place. The team uses state-of-the-art equipment _ sniper rifles, snake-cameras, robots, flash-bangs, night-vision and tasers. But beyond all of the cool gadgetry, the most important weapons in their arsenal are human intuition, a gift for words and their ability to read emotion. Each team member is uniquely trained in negotiating, profiling and getting inside a subjectÕs head. They stand out because of the rare balance between lethal hardware and people skills: pure muscle and pure intuition. TheyÕre the envy of law enforcement everywhere. The stakes are always high in Flashpoint _ only here, the lives of the men and women on the team are also always on the line. ThatÕs the nature of the job. The SRU may be heroes, but they are also human. At the end of the day, they each go home haunted by what theyÕve seen, by what theyÕve had to do _ pursued by new demons which they cram into already bulging closets. They lock down emotion and they second-guess decisions made in the heat of the moment. These individuals are constant witnesses to the extremes of human distress. Not everyone is cut out for this. If youÕre a cop, youÕre three times more likely to kill yourself than to be killed by a bad guy.",Drama~Crime and Courtroom Drama,Drama~Crime and Courtroom Drama,5657769
